2018-07-18 14:47:55,785 - EXPERIMENT ([0, 40, 0.5, 0.16, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.35],)
2018-07-18 14:47:55,798 - EXPERIMENT ([0, 41, 0.48, 0.04, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:55,808 - EXPERIMENT ([0, 42, 0.43, 0.36, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.21],)
2018-07-18 14:47:55,816 - EXPERIMENT ([0, 43, -0.03, 0.35, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.06],)
2018-07-18 14:47:55,823 - EXPERIMENT ([0, 44, 0.39, 0.05, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.02],)
2018-07-18 14:47:55,832 - EXPERIMENT ([0, 45, 0.27, 0.3, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.27],)
2018-07-18 14:47:55,839 - EXPERIMENT ([0, 46, 0.2, 0.34, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.22],)
2018-07-18 14:47:55,847 - EXPERIMENT ([0, 47, 0.28, 0.43, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.3],)
2018-07-18 14:47:55,857 - EXPERIMENT ([0, 48, -0.0, 0.39, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,863 - EXPERIMENT ([0, 49, 0.48, 0.29, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
