experiment,run,theta,delta,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,epsilon,numA,expected numA,hits,switch,cross_term
3,92,-0.05,0.41,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.13,4,4,1,1,0.0533
3,93,0.16,0.13,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.16,5,5,1,1,0.020800000000000003
3,94,0.2,0.07,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.33,5,5,1,1,0.023100000000000002
3,95,-0.12,0.21,A_1,A_2,A_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,0.18,3,4,0,1,0.0378
3,96,0.45,0.46,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.28,5,6,0,1,0.12880000000000003
3,97,0.4,0.45,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.04,6,5,0,1,0.018000000000000002
3,98,-0.01,0.06,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.31,4,4,1,1,0.0186
3,99,0.43,0.17,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.22,6,6,1,1,0.0374
3,100,0.21,0.31,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.12,4,5,0,1,0.0372
4,1,0.66,0.06,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.22,6,6,1,1,0.0132
4,2,-0.0,0.11,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.33,4,4,1,1,0.0363
4,3,0.32,0.42,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.39,5,5,1,1,0.1638
4,4,-0.1,0.23,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.15,4,4,1,1,0.0345
4,5,0.35,0.03,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.34,5,5,1,1,0.0102
4,6,-0.0,0.37,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.01,4,4,1,1,0.0037
4,7,0.55,0.31,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.36,6,6,1,1,0.11159999999999999
4,8,0.03,0.07,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.11,4,4,1,1,0.007700000000000001
4,9,0.55,0.02,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.38,6,6,1,1,0.0076
4,10,0.27,0.12,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.02,5,5,1,1,0.0024
4,11,0.41,0.17,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.1,6,6,1,1,0.017
4,12,0.59,0.14,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.08,6,6,1,1,0.011200000000000002
4,13,0.33,0.3,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.34,5,5,1,1,0.10200000000000001
4,14,0.67,0.3,A_1,A_2,A_3,A_4,A_5,A_6,A_7,B_8,B_9,B_10,0.17,7,6,0,1,0.051000000000000004
4,15,0.33,0.08,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.23,5,5,1,1,0.0184
4,16,0.11,0.23,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.1,4,4,1,1,0.023000000000000003
4,17,0.53,0.44,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.28,6,6,1,1,0.12320000000000002
4,18,0.64,0.48,A_1,A_2,A_3,A_4,A_5,A_6,B_7,A_8,B_9,B_10,0.35,7,6,0,3,0.16799999999999998
4,19,0.56,0.09,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.08,6,6,1,1,0.0072
4,20,0.52,0.48,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.23,6,6,1,1,0.1104
4,21,0.64,0.35,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.36,6,6,1,1,0.126
4,22,0.5,0.29,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.28,6,6,1,1,0.08120000000000001
4,23,0.67,0.25,A_1,A_2,A_3,A_4,A_5,A_6,A_7,B_8,B_9,B_10,0.14,7,6,0,1,0.035
4,24,0.21,0.45,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.29,6,5,0,1,0.1305
4,25,0.15,0.27,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.07,5,5,1,1,0.018900000000000004
4,26,0.11,0.31,A_1,A_2,A_3,B_4,A_5,B_6,B_7,B_8,B_9,B_10,0.15,4,4,1,3,0.0465
4,27,-0.14,0.16,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.12,4,4,1,1,0.0192
4,28,0.52,0.06,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.15,6,6,1,1,0.009
4,29,0.13,0.3,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.04,4,4,1,1,0.012
4,30,0.32,0.26,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.23,5,5,1,1,0.059800000000000006
4,31,0.48,0.2,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.39,5,6,0,1,0.07800000000000001
4,32,0.46,0.49,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.26,5,6,0,1,0.1274
4,33,0.4,0.42,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.14,5,5,1,1,0.058800000000000005
4,34,0.26,0.26,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.35,5,5,1,1,0.091
4,35,-0.15,0.29,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.03,4,4,1,1,0.0087
4,36,0.3,0.14,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.26,5,5,1,1,0.0364
4,37,0.28,0.07,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.11,5,5,1,1,0.007700000000000001
4,38,-0.01,0.12,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.28,4,4,1,1,0.033600000000000005
4,39,0.59,0.01,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.28,6,6,1,1,0.0028000000000000004
4,40,0.01,0.03,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.1,4,4,1,1,0.003
